p,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39
0.1,3045.4736842105262,223.4375,0.0,666.6666666666666,224.8,0.0,0.0,42.0,27.2,73.5,0.0
0.2,3945.0,383.3333333333333,52.0,893.5,307.54716981132077,0.0,0.0,85.5,96.5,183.75,0.0
0.3,4626.5625,518.0,93.06666666666666,1173.0666666666666,375.9375,21.50943396226415,0.0,140.9375,166.25,316.63157894736844,39.375
0.4,5380.3125,670.625,140.8,1390.0,434.4230769230769,41.132075471698116,24.0,207.8125,268.0,468.8,72.8
0.5,6137.735849056604,817.5,187.5,1635.5,504.26666666666665,69.6,77.73584905660378,281.875,392.8,660.421052631579,118.0
0.6,6960.0,997.6470588235294,238.11320754716982,1898.1333333333334,582.2641509433962,116.5625,138.5,368.0,551.875,923.5,189.6875
0.7,8066.4,1201.132075471698,300.5,2225.5,705.6,192.0754716981132,226.34615384615384,499.0,752.8125,1286.5,291.0
0.8,9439.5,1484.8,392.0,2681.5,868.0,356.6037735849057,348.8,700.5,1060.0,1821.0,450.94339622641513
0.9,12014.4,2011.875,544.1509433962265,3502.4,1228.5,654.4,584.7058823529412,1083.5,1592.4528301886794,3115.8490566037735,784.0
1.0,12015.4,2012.875,545.1509433962265,3503.4,1229.5,655.4,585.7058823529412,1084.5,1593.4528301886794,3116.8490566037735,785.0
